year_month,pm25,pm10,o3,no2,so2,co
2018-07-01,79.63333333333334,37.06666666666667,20.0,11.033333333333331,2.966666666666667,4.433333333333334
2018-08-01,72.41935483870968,33.70967741935484,20.0,10.096774193548388,2.225806451612903,4.548387096774194
2018-09-01,98.2,34.733333333333334,49.86666666666667,14.633333333333333,2.8666666666666667,5.2
2018-10-01,94.51612903225806,37.096774193548384,44.67741935483871,16.806451612903224,3.5161290322580645,3.903225806451613
2018-11-01,116.9,41.3,31.9,23.2,2.566666666666667,5.1
2018-12-01,106.06896551724138,40.72413793103448,21.0,21.58620689655172,3.1724137931034484,4.896551724137931
2019-01-01,123.74193548387096,52.74193548387097,28.225806451612904,28.580645161290324,4.548387096774194,6.903225806451613
2019-02-01,112.71428571428572,47.17857142857143,32.285714285714285,18.464285714285715,2.75,5.178571428571429
2019-03-01,130.80645161290323,55.903225806451616,43.80645161290322,25.967741935483872,2.870967741935484,7.032258064516129
2019-04-01,112.13333333333334,49.1,47.93333333333333,23.33333333333333,2.5,6.9
2019-05-01,107.06451612903226,50.64516129032258,62.61290322580645,18.677419354838708,2.548387096774193,5.774193548387097
2019-06-01,93.9,34.93333333333333,54.66666666666666,12.766666666666667,1.7666666666666666,4.7
2019-07-01,88.74193548387096,36.41935483870968,54.87096774193548,13.258064516129032,1.7096774193548387,4.096774193548387
2019-08-01,85.93548387096774,37.516129032258064,53.38709677419355,13.290322580645162,1.967741935483871,5.870967741935484
2019-09-01,86.63333333333334,36.2,44.9,15.666666666666666,2.333333333333333,5.166666666666667
2019-10-01,98.35483870967742,54.354838709677416,43.25806451612903,19.387096774193548,3.5161290322580645,5.032258064516129
2019-11-01,86.37931034482759,48.13793103448276,34.51724137931034,20.448275862068964,3.689655172413793,5.655172413793103
2019-12-01,120.21428571428572,50.10714285714285,25.107142857142858,30.607142857142858,4.071428571428571,8.035714285714286
2020-01-01,121.06451612903226,48.45161290322581,28.225806451612904,18.516129032258064,3.096774193548387,8.161290322580646
2020-02-01,87.5,34.142857142857146,34.82142857142857,10.071428571428571,2.357142857142857,4.785714285714286
